name, threads, steps, time, expected, real/expected, cpu/expected, user/cpu, system/cpu
"std::mutex uncontended 1-thread",1,138822627,1.00054e+10,70.8601,1.01712,1.01555,1,0
"ttas_mutex uncontended 1-thread",1,147063563,1.00005e+10,70.8601,0.959656,0.958647,1,0
"std::mutex uncontended N-thread",8,239137276,1.00007e+10,36.5125,1.14536,8.72472,0.968102,0.0318981
"ttas_mutex uncontended N-thread",8,298458257,1.0007e+10,36.5125,0.918289,7.07871,0.968369,0.0316308
"std::mutex low-prob contended N-thread",8,179973371,1.00006e+10,36.5125,1.52186,8.90541,0.667977,0.332023
"ttas_mutex low-prob contended N-thread",8,187469983,1.00013e+10,36.5125,1.46111,9.84367,0.815227,0.184773
"std::mutex short contended N-thread",8,6027640,1.00002e+10,297.969,5.56788,36.5302,0,1
"ttas_mutex short contended N-thread",8,17808008,1.00012e+10,297.969,1.8848,10.8269,0.439339,0.560661
"std::mutex long contended N-thread",8,1098,1.00003e+10,9.48923e+06,0.959799,0.984722,1,0
"ttas_mutex long contended N-thread",8,1066,1.00008e+10,9.48923e+06,0.988655,1.01923,1,0
