name, threads, steps, time, expected, real/expected, cpu/expected, user/cpu, system/cpu
"std::mutex uncontended 1-thread",1,204100745,1.0002e+10,48.9039,1.00207,1.00087,0.998999,0.001001
"ttas_mutex uncontended 1-thread",1,205048360,1.0004e+10,48.9039,0.997644,0.997241,0.999,0.001
"std::mutex uncontended N-thread",8,308982396,1.00025e+10,32.8318,0.98601,7.63276,0.998967,0.00103319
"ttas_mutex uncontended N-thread",8,309369123,1.00001e+10,32.8318,0.984539,7.62617,0.998967,0.00103279
"std::mutex low-prob contended N-thread",8,82752490,1.0003e+10,32.8318,3.68177,7.29873,0.388805,0.611195
"ttas_mutex low-prob contended N-thread",8,322255910,1.00045e+10,32.8318,0.945588,6.97339,0.998102,0.00189753
"std::mutex short contended N-thread",8,2826956,1.00036e+10,290.515,12.1805,12.5902,0.180851,0.819149
"ttas_mutex short contended N-thread",8,20742682,1.00006e+10,290.515,1.65956,8.55119,0.698428,0.301572
"std::mutex long contended N-thread",8,1029,1.00044e+10,9.75085e+06,0.997088,0.996649,0.998,0.002
"ttas_mutex long contended N-thread",8,1028,1.00015e+10,9.75085e+06,0.997772,0.997619,0.998,0.002
